word,n
birx,103
carry,103
detection,103
generation,103
gujarat,103
hefty,103
king,103
labour,103
md,103
measure,103
posts,103
racial,103
resident,103
struggle,103
suffer,103
tory,103
bbnaijia,102
books,102
cloud,102
failing,102
hardest,102
hawaii,102
ignoring,102
lovely,102
match,102
omg,102
overnight,102
receiving,102
scientist,102
siddaramaiah,102
tamil,102
unitedstates,102
volunteer,102
whilst,102
15th,101
addressing,101
agreed,101
commitment,101
fill,101
gathering,101
intelligence,101
luck,101
mla,101
moneyforthepeople,101
moves,101
protesting,101
pushed,101
registers,101
survival,101
telemedicine,101
weight,101
46,100
8th,100
acting,100
candidate,100
convalescent,100
digitaltransformation,100
dnc,100
honest,100
husband,100
illegal,100
indians,100
physicians,100
praying,100
quarantined,100
russia's,100
schedule,100
secret,100
strange,100
urges,100
400,99
agedcare,99
attending,99
bot,99
chances,99
conducting,99
crowded,99
democratic,99
impacting,99
migrant,99
officers,99
raised,99
replouiegohmert,99
sec,99
traveling,99
travellers,99
utah,99
vacation,99
y'all,99
42,98
57,98
"64,399",98
admit,98
articles,98
bat,98
churches,98
dc,98
disability,98
falls,98
nih,98
nitians,98
popular,98
prisons,98
refugees,98
russianvaccine,98
shock,98
su,98
supporters,98
achieve,97
airborne,97
celebrating,97
citizen,97
deputy,97
evil,97
expand,97
factors,97
harder,97
honestly,97
hospitalization,97
hunger,97
impose,97
league,97
meetings,97
metro,97
opposition,97
rolling,97
safer,97
saliva,97
underlying,97
wfh,97
102,96
30pm,96
51,96
archive,96
belgium,96
catching,96
confused,96
coronavirusvaccine,96
dated,96
forever,96
isolated,96
journalists,96
lesson,96
modern,96
n95,96
nits,96
percentage,96
protocol,96
puducherry,96
relationship,96
senategop,96
ship,96
shivraj,96
size,96
supports,96
trouble,96
urged,96
walmart,96
अनंत_हेगड़े_माफ़ी_मांगो,96
"48,916",95
controlled,95
couldn’t,95
crowds,95
disproportionately,95
holidays,95
innovative,95
laugh,95
photographer,95
sample,95
smile,95
surpass,95
survivors,95
voted,95
voters,95
authority,94
ch,94
discovered,94
fed,94
gift,94
governors,94
icmrdelhi,94
lady,94
lifestyle,94
murder,94
pleased,94
postpone,94
remind,94
reopened,94
saved,94
shield,94
technologies,94
wellness,94
abroad,93
agreement,93
airports,93
apple,93
bills,93
blaming,93
brands,93
closure,93
complications,93
covid19vic,93
dropping,93
elected,93
en,93
enforcement,93
fakenews,93
followers,93
globe,93
hkt,93
hotels,93
interactive,93
participate,93
pic,93
protected,93
scare,93
seek,93
southern,93
stores,93
tedcruz,93
universal,93
whoafro,93
adding,92
agriculture,92
basically,92
chains,92
discount,92
doses,92
emotional,92
eviction,92
exclusive,92
featuring,92
ga,92
heads,92
inform,92
na,92
operating,92
passes,92
ph,92
q2,92
southkorea,92
table,92
timely,92
47,91
59,91
absolute,91
accelerated,91
